City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,qa'en,33.7265,59.1844,6.51,49,29,2.23,IR,1702260736
1,port-aux-francais,-49.35,70.2167,4.12,79,75,9.51,TF,1702260736
2,novogornyy,55.63,60.7919,-30.94,96,37,3.01,RU,1702260737
3,krasnokamensk,50.0979,118.0369,-29.25,96,13,1.13,RU,1702260737
4,yellowknife,62.456,-114.3525,-11.71,92,100,10.29,CA,1702260575
5,ilulissat,69.2167,-51.1,-1.99,69,100,6.69,GL,1702260738
6,cidreira,-30.1811,-50.2056,20.04,92,100,7.83,BR,1702260739
7,winnemucca,40.973,-117.7357,-0.97,64,0,0.0,US,1702260571
8,college,64.8569,-147.8028,-16.72,70,75,0.0,US,1702260740
9,liwale,-9.7667,37.9333,21.34,98,99,0.93,TZ,1702260741
10,agadez,19.75,10.25,13.07,54,0,5.44,NE,1702260742
11,yuzhno-kurilsk,44.0306,145.8556,0.76,76,93,8.05,RU,1702260448
12,ripky,51.801,31.0838,-1.61,98,100,3.92,UA,1702260743
13,whitehorse,60.7161,-135.0538,-12.33,82,100,1.79,CA,1702260637
14,pamanukan,-6.2842,107.8106,30.45,64,99,0.25,ID,1702260744
15,ghat,24.9647,10.1728,11.67,71,6,3.4,LY,1702260744
16,ushuaia,-54.8,-68.3,4.5,99,100,1.44,AR,1702260745
17,adamstown,-25.066,-130.1015,21.29,56,0,2.6,PN,1702260746
18,qaqortoq,60.7167,-46.0333,-10.48,74,10,1.68,GL,1702260746
19,ribeira grande,38.5167,-28.7,17.65,75,99,8.49,PT,1702260747
20,albany,42.6001,-73.9662,7.02,91,100,2.24,US,1702260748
21,aketi,2.7388,23.7833,21.81,97,100,0.35,CD,1702260748
22,crane,31.3974,-102.3501,8.96,23,0,2.06,US,1702260649
23,fortuna,40.5982,-124.1573,12.21,89,100,0.0,US,1702260651
24,lompoc,34.6391,-120.4579,16.08,60,0,0.0,US,1702260653
25,summerville,33.0185,-80.1757,18.39,89,40,5.66,US,1702260750
26,port augusta,-32.5,137.7667,23.01,52,96,8.38,AU,1702260750
27,nuuk,64.1835,-51.7216,-2.66,74,100,1.54,GL,1702260480
28,margaret river,-33.95,115.0667,24.32,29,0,2.54,AU,1702260751
29,grytviken,-54.2811,-36.5092,5.3,95,100,6.26,GS,1702260752
30,coquimbo,-29.9533,-71.3436,15.44,85,11,0.84,CL,1702260581
31,port alfred,-33.5906,26.891,16.77,95,36,0.45,ZA,1702260464
32,osmaniye,37.0742,36.2478,13.64,80,100,3.17,TR,1702260753
33,kasongo-lunda,-6.4667,16.8167,20.99,99,100,0.49,CD,1702260753
34,ambalangoda,6.2355,80.0538,25.36,87,100,1.89,LK,1702260754
35,kavaratti,10.5669,72.642,28.6,72,100,3.12,IN,1702260754
36,happy valley-goose bay,53.3168,-60.3315,3.52,85,100,6.02,CA,1702260755
37,oranjestad,12.524,-70.027,27.17,88,20,8.23,AW,1702260755
38,la'ie,21.6477,-157.9253,28.66,79,21,3.13,US,1702260637
39,aldan,58.6031,125.3894,-30.76,95,100,2.56,RU,1702260589
40,east ballina,-28.8667,153.5833,28.22,57,45,4.29,AU,1702260563
41,mana,5.6592,-53.7767,25.47,91,33,3.37,GF,1702260757
42,nova sintra,14.8667,-24.7167,22.93,74,100,4.76,CV,1702260643
43,port mathurin,-19.6833,63.4167,26.06,76,100,3.52,MU,1702260522
44,fort bragg,35.139,-79.006,18.91,93,100,5.14,US,1702260655
45,darwin,-12.4611,130.8418,35.59,69,75,1.03,AU,1702260519
46,duck lake,52.8168,-106.2344,-4.41,76,100,3.86,CA,1702260759
47,bredasdorp,-34.5322,20.0403,14.82,84,0,1.36,ZA,1702260760
48,edinburgh of the seven seas,-37.0676,-12.3116,13.68,71,96,8.05,SH,1702260760
49,hilo,19.7297,-155.09,27.93,95,100,2.68,US,1702260498
50,port saint john's,-31.6229,29.5448,18.18,86,100,0.45,ZA,1702260661
51,qamdo,31.1667,97.2333,-6.87,54,4,1.53,CN,1702260762
52,waitangi,-43.9535,-176.5597,14.9,59,0,2.24,NZ,1702260762
53,vila franca do campo,37.7167,-25.4333,18.27,99,100,5.36,PT,1702260763
54,yerofey pavlovich,53.9667,121.9667,-26.92,72,5,1.25,RU,1702260763
55,aripuana,-9.1667,-60.6333,23.93,94,98,0.33,BR,1702260583
56,mitsamiouli,-11.3847,43.2844,27.98,81,100,6.59,KM,1702260764
57,luanda,-8.8368,13.2343,25.79,87,100,4.45,AO,1702260764
58,kollo,13.3043,2.339,21.54,15,78,4.24,NE,1702260765
59,hexham,54.9699,-2.104,6.78,91,100,3.5,GB,1702260765
60,puerto natales,-51.7236,-72.4875,6.53,84,68,1.88,CL,1702260766
61,humaita,-7.5061,-63.0208,25.18,89,72,0.48,BR,1702260766
62,talnakh,69.4865,88.3972,-27.11,98,100,4.52,RU,1702260767
63,peterhead,57.5058,-1.7981,6.22,90,100,10.04,GB,1702260639
64,igualada,41.581,1.6172,14.57,91,92,2.83,ES,1702260761
65,petropavlovsk-kamchatsky,53.0452,158.6483,1.33,95,75,6.71,RU,1702260768
66,newnham,-41.3833,147.1333,27.59,31,89,1.03,AU,1702260768
67,quinhamel,11.8833,-15.85,24.25,41,98,2.01,GW,1702260769
68,shakawe,-18.3667,21.85,20.25,88,89,1.75,BW,1702260769
69,constantia,44.1833,28.65,-0.62,84,88,4.18,RO,1702260770
70,vilyuchinsk,52.9306,158.4028,2.15,92,100,5.09,RU,1702260771
71,illizi,26.4833,8.4667,10.36,74,14,1.54,DZ,1702260771
72,blackmans bay,-43.0167,147.3167,22.51,55,7,1.34,AU,1702260772
73,tolanaro,-25.0319,46.9987,23.25,96,84,3.84,MG,1702260772
74,waingapu,-9.6567,120.2641,31.37,62,85,3.28,ID,1702260773
75,ulsteinvik,62.3432,5.8487,3.07,84,9,2.24,NO,1702260773
76,bilibino,68.0546,166.4372,-25.84,98,38,2.01,RU,1702260774
77,bethel,41.3712,-73.414,16.23,88,100,2.24,US,1702260774
78,hechuan,29.9947,106.2572,14.27,88,100,1.01,CN,1702260775
79,kidal,18.4411,1.4078,18.12,19,17,7.08,ML,1702260771
80,thompson,55.7435,-97.8558,-14.91,85,100,1.54,CA,1702260776
81,tura,25.5198,90.2201,16.93,61,0,0.89,IN,1702260776
82,ta`u,-14.2336,-169.5144,25.16,92,100,7.79,AS,1702260777
83,curillo,1.0333,-75.9191,22.62,97,88,0.42,CO,1702260777
84,port moresby,-9.4431,147.1797,29.85,63,54,4.58,PG,1702260777
85,codrington,-38.2667,141.9667,18.01,76,100,7.02,AU,1702260778
86,isafjordur,66.0755,-23.124,-2.66,93,89,3.19,IS,1702260778
87,ingeniero jacobacci,-41.3427,-69.5448,23.1,21,100,3.54,AR,1702260779
88,ivanteyevka,55.9711,37.9208,-8.7,94,100,1.34,RU,1702260779
89,saipan,15.1355,145.701,30.39,70,0,6.17,MP,1702260780
90,atafu village,-8.5421,-172.5159,28.63,77,100,6.6,TK,1702260763
91,bodaybo,57.8506,114.1933,-29.37,97,100,0.09,RU,1702260781
92,sambava,-14.2667,50.1667,24.2,89,99,3.47,MG,1702260781
93,lang suan,9.9456,99.0785,27.84,75,7,0.71,TH,1702260782
94,ad dawadimi,24.5077,44.3924,11.64,27,36,4.39,SA,1702260783
95,utrik,11.2278,169.8474,27.19,77,100,8.7,MH,1702260783
96,hillsborough,37.5741,-122.3794,12.39,74,0,2.06,US,1702260784
97,iqaluit,63.7506,-68.5145,-4.61,79,100,5.36,CA,1702260785
98,palmer,42.1584,-72.3287,16.23,83,100,7.2,US,1702260785
99,sao joao da barra,-21.6403,-41.0511,23.08,80,78,2.57,BR,1702260786
100,bisert',56.8617,59.0523,-31.67,97,8,2.1,RU,1702260786
101,jiagedaqi,50.4167,124.1167,-21.33,63,2,1.81,CN,1702260704
102,takoradi,4.8845,-1.7554,26.16,84,8,3.03,GH,1702260787
103,vilyuysk,63.7553,121.6247,-29.03,97,100,3.26,RU,1702260788
104,san patricio,28.017,-97.5169,12.92,28,0,1.7,US,1702260788
105,lagos,6.5833,3.75,25.52,85,0,1.27,NG,1702260542
106,tiksi,71.6872,128.8694,-25.8,100,100,2.34,RU,1702260789
107,saldanha,-33.0117,17.9442,16.24,88,0,6.0,ZA,1702260613
108,el dovio,4.5079,-76.2362,17.89,98,100,1.49,CO,1702260790
109,egilsstadir,65.2653,-14.3948,-6.05,93,75,1.03,IS,1702260791
110,boticas,41.6758,-7.716,11.19,95,100,2.86,PT,1702260792
111,san pedro,14.35,121.0167,30.75,75,88,3.58,PH,1702260548
112,hawaiian paradise park,19.5933,-154.9731,26.13,92,100,1.54,US,1702260793
113,mokhsogollokh,61.4681,128.9203,-26.63,88,100,4.63,RU,1702260793
114,cromwell,41.5951,-72.6454,16.85,96,100,6.69,US,1702260794
115,lebu,-37.6167,-73.65,12.83,87,100,7.56,CL,1702260794
116,brisas de zicatela,15.8369,-97.0419,26.63,74,4,1.91,MX,1702260795
